Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.30771E-4,69.130485392,0.751287102,0.031470924,0.719939117,0
3.30978E-4,70.553691335,0.751503238,0.029798556,0.719939117,0
3.31824E-4,71.315501984,0.752385538,0.028962372,0.744292237,0
3.3198E-4,71.581000134,0.75254874,0.028658305,0.747336377,0
3.32076E-4,72.112178269,0.752647873,0.028050171,0.753424658,0
3.32759E-4,72.278335133,0.753357896,0.027860129,0.75456621,0
3.33572E-4,72.811836407,0.754200143,0.027251995,0.759893455,0
3.34125E-4,73.312871469,0.75477145,0.02668187,0.7652207,0
3.34145E-4,74.181642628,0.754791812,0.025655644,0.76674277,0
3.34196E-4,74.582677277,0.754843907,0.025199544,0.775494673,0
3.35142E-4,75.554549415,0.755818276,0.024097301,0.780060883,0
3.35919E-4,76.360208486,0.75661518,0.023223109,0.799467275,0
3.35919E-4,76.561760062,0.75661518,0.022957051,0.799467275,0
3.36264E-4,77.066049609,0.756967881,0.022424933,0.807458143,0
3.36901E-4,77.436458431,0.757618558,0.021968833,0.808980213,0
3.37092E-4,78.414024622,0.757812682,0.020866591,0.811643836,0
3.37402E-4,78.515224836,0.758128701,0.020790574,0.822678843,0
3.3755E-4,80.202250516,0.758279153,0.018890156,0.841704718,0
3.37622E-4,80.539807778,0.758352059,0.018510072,0.845509893,0
3.39467E-4,81.590562977,0.760220501,0.017331813,0.856925419,0
3.41111E-4,81.760638208,0.761873474,0.017141771,0.857686454,0
3.4191E-4,82.033682288,0.762672014,0.016837704,0.860730594,0
3.42308E-4,82.649728584,0.763068787,0.016153554,0.867199391,0
3.45569E-4,82.753294115,0.766297408,0.016039529,0.867579909,0
3.48749E-4,83.030872903,0.769402526,0.015735462,0.868340944,0
3.48981E-4,86.623009408,0.769627264,0.011820601,0.907534247,0
3.51027E-4,86.763028268,0.771601961,0.011668567,0.908675799,0
3.52486E-4,87.009379148,0.772999715,0.011402509,0.910958904,0
3.52523E-4,87.643858214,0.773034802,0.010718358,0.917808219,0
3.52875E-4,87.784931419,0.773370974,0.010566325,0.918569254,0
3.55944E-4,88.032834557,0.776277617,0.010300266,0.918569254,0
3.62937E-4,88.284474049,0.782762835,0.010034208,0.920471842,0
3.67772E-4,88.503894952,0.787137126,0.009806157,0.920471842,0
3.72552E-4,89.169079988,0.791374429,0.009122007,0.926940639,0
3.75932E-4,89.281598213,0.794319517,0.009007982,0.927321157,0
