X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
302.0,302.0,train,2.6396626811101286E-4,30.01212408373407,0.6705816397200939
303.0,303.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
304.0,304.0,train,4.900689714142495E-4,98.29159211225574,0.872746334137686
305.0,305.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
306.0,306.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
307.0,307.0,train,4.8405581672785326E-4,97.75756116321978,0.8694863267445611
308.0,308.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
309.0,309.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
310.0,310.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
311.0,311.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
312.0,312.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
313.0,313.0,train,4.8405581672785326E-4,97.75756116321978,0.8694863267445611
314.0,314.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
315.0,315.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
316.0,316.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
317.0,317.0,train,4.8405581672785326E-4,97.75756116321978,0.8694863267445611
318.0,318.0,train,2.6396626811101286E-4,30.01212408373407,0.6705816397200939
319.0,319.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
320.0,320.0,train,2.0068858147828786E-4,15.622842514454591,0.5701145589825072
321.0,321.0,train,4.8405581672785326E-4,97.75756116321978,0.8694863267445611
322.0,322.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
323.0,323.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
324.0,324.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
325.0,325.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
326.0,326.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
327.0,327.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
328.0,328.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
329.0,329.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
330.0,330.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
331.0,331.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
332.0,332.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
333.0,333.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
334.0,334.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
335.0,335.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
336.0,336.0,train,2.6396626811101286E-4,30.01212408373407,0.6705816397200939
337.0,337.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
338.0,338.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
339.0,339.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
340.0,340.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
341.0,341.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
342.0,342.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
343.0,343.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
344.0,344.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
345.0,345.0,train,4.7690933755565695E-4,96.50520862846852,0.8655031086209521
346.0,346.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
